Date,Open,High,Low,Close,Adj Close,Volume
2016-09-08,276.200012,276.450012,267.380005,268.660004,268.660004,5006600
2016-09-09,266.359985,267.489990,264.119995,264.119995,264.119995,2897700
2016-09-12,263.760010,269.700012,263.269989,269.309998,269.309998,2537000
2016-09-13,266.809998,268.459991,262.570007,264.970001,264.970001,1981200
2016-09-14,262.109985,267.910004,262.109985,266.690002,266.690002,1299200
2016-09-15,265.929993,268.829987,264.760010,266.269989,266.269989,1692800
2016-09-16,266.220001,266.869995,264.160004,265.940002,265.940002,2514900
2016-09-19,266.380005,268.089996,262.700012,262.929993,262.929993,2133000
2016-09-20,264.209991,266.000000,261.679993,264.559998,264.559998,1968200
2016-09-21,266.000000,274.779999,266.000000,274.269989,274.269989,2320200
2016-09-22,276.000000,277.619995,273.510010,276.730011,276.730011,1621400
2016-09-23,275.649994,276.950012,274.890015,276.079987,276.079987,833900
2016-09-26,275.019989,275.630005,272.489990,273.820007,273.820007,1295200
2016-09-27,273.329987,277.769989,271.309998,275.399994,275.399994,1269300
2016-09-28,275.399994,276.609985,273.660004,276.570007,276.570007,1175300
2016-09-29,275.260010,276.109985,269.140015,271.829987,271.829987,1793600
2016-09-30,268.899994,272.410004,268.899994,269.970001,269.970001,1875200
2016-10-03,269.679993,270.989990,266.049988,268.160004,268.160004,1908900
2016-10-04,267.380005,269.559998,265.929993,267.410004,267.410004,1745300
2016-10-05,268.730011,269.299988,266.190002,267.079987,267.079987,1333400
2016-10-06,267.000000,269.459991,266.359985,268.170013,268.170013,1079500
2016-10-07,269.040009,269.040009,266.920013,266.970001,266.970001,1373500
2016-10-10,268.299988,268.850006,266.239990,267.850006,267.850006,2016300
2016-10-11,262.320007,263.820007,257.510010,257.859985,257.859985,3440500
2016-10-12,257.910004,259.329987,256.820007,256.890015,256.890015,1702800
2016-10-13,255.720001,257.269989,253.380005,256.399994,256.399994,1284400
2016-10-14,257.920013,261.329987,255.809998,257.589996,257.589996,1112900
2016-10-17,257.820007,260.200012,256.980011,257.519989,257.519989,822800
2016-10-18,259.619995,261.510010,259.510010,259.950012,259.950012,1127200
2016-10-19,260.809998,262.920013,259.420013,260.200012,260.200012,1319300
2016-10-20,260.500000,260.540009,257.559998,258.119995,258.119995,1518500
2016-10-21,256.200012,257.369995,254.080002,255.059998,255.059998,2250500
2016-10-24,257.260010,259.779999,254.720001,259.600006,259.600006,1382000
2016-10-25,259.989990,261.010010,256.019989,257.059998,257.059998,1680700
2016-10-26,256.600006,257.149994,247.000000,248.639999,248.639999,2999400
2016-10-27,249.039993,249.880005,242.470001,244.100006,244.100006,2875500
2016-10-28,245.020004,252.259995,245.020004,249.250000,249.250000,2041700
2016-10-31,250.619995,251.250000,247.389999,249.889999,249.889999,1230000
2016-11-01,250.000000,251.270004,245.429993,249.570007,249.570007,1676400
2016-11-02,249.360001,254.550003,248.289993,252.910004,252.910004,3472100
2016-11-03,267.570007,269.190002,242.639999,247.419998,247.419998,4560400
2016-11-04,241.500000,254.429993,241.500000,250.229996,250.229996,2424200
2016-11-07,254.729996,257.500000,252.899994,257.160004,257.160004,2372700
