Date,Open,High,Low,Close,Adj Close,Volume
2015-11-18,4.670000,4.840000,4.640000,4.720000,4.720000,10858900
2015-11-19,4.710000,4.840000,4.640000,4.780000,4.780000,6991100
2015-11-20,4.780000,5.080000,4.780000,5.060000,5.060000,8784000
2015-11-23,5.050000,5.110000,5.000000,5.030000,5.030000,9996000
2015-11-24,5.000000,5.150000,4.960000,5.100000,5.100000,7311900
2015-11-25,5.080000,5.160000,5.050000,5.100000,5.100000,3867900
2015-11-27,5.090000,5.110000,4.900000,4.970000,4.970000,2597800
2015-11-30,4.980000,5.080000,4.920000,5.050000,5.050000,4508100
2015-12-01,5.060000,5.080000,4.930000,4.960000,4.960000,5378200
2015-12-02,4.940000,5.000000,4.710000,4.710000,4.710000,7815600
2015-12-03,4.780000,4.880000,4.660000,4.710000,4.710000,8283700
2015-12-04,4.730000,4.740000,4.550000,4.590000,4.590000,6255800
2015-12-07,4.600000,4.610000,4.380000,4.500000,4.500000,7490000
2015-12-08,4.440000,4.480000,4.160000,4.180000,4.180000,10299700
2015-12-09,4.170000,4.300000,3.950000,3.980000,3.980000,12035000
2015-12-10,4.000000,4.120000,3.950000,4.040000,4.040000,5676500
2015-12-11,3.980000,3.980000,3.790000,3.810000,3.810000,7097900
2015-12-14,3.820000,3.870000,3.640000,3.660000,3.660000,7490200
2015-12-15,3.740000,3.870000,3.730000,3.800000,3.800000,4893700
2015-12-16,3.860000,4.030000,3.830000,3.990000,3.990000,7597100
2015-12-17,4.000000,4.060000,3.640000,3.640000,3.640000,9735100
2015-12-18,3.640000,3.660000,3.480000,3.520000,3.520000,9283700
2015-12-21,3.540000,3.610000,3.460000,3.580000,3.580000,5922600
2015-12-22,3.610000,3.620000,3.470000,3.470000,3.470000,7426600
2015-12-23,3.530000,3.910000,3.520000,3.900000,3.900000,9232600
2015-12-24,3.880000,3.990000,3.830000,3.930000,3.930000,4331100
2015-12-28,3.900000,3.910000,3.750000,3.790000,3.790000,3884400
2015-12-29,3.850000,3.900000,3.770000,3.800000,3.800000,4147900
2015-12-30,3.780000,3.880000,3.740000,3.750000,3.750000,4127500
2015-12-31,3.700000,3.820000,3.670000,3.730000,3.730000,5625500
2016-01-04,3.660000,3.880000,3.610000,3.800000,3.800000,8654800
2016-01-05,3.800000,3.850000,3.630000,3.640000,3.640000,6580800
2016-01-06,3.550000,3.560000,3.400000,3.500000,3.500000,5882200
2016-01-07,3.380000,3.420000,3.170000,3.180000,3.180000,7145800
2016-01-08,3.250000,3.270000,3.040000,3.090000,3.090000,5310700
2016-01-11,3.150000,3.160000,2.580000,2.770000,2.770000,13545400
2016-01-12,2.810000,2.850000,2.330000,2.520000,2.520000,23249200
2016-01-13,2.580000,2.650000,2.320000,2.400000,2.400000,15779200
2016-01-14,2.450000,2.510000,2.240000,2.460000,2.460000,16360100
2016-01-15,2.320000,2.520000,2.290000,2.480000,2.480000,12197300
2016-01-19,2.530000,2.580000,2.330000,2.350000,2.350000,7018700
2016-01-20,2.300000,2.550000,2.200000,2.520000,2.520000,12701900
2016-01-21,2.510000,2.590000,2.390000,2.410000,2.410000,6857900
2016-01-22,2.430000,2.540000,2.320000,2.460000,2.460000,5926100
2016-01-25,2.410000,2.450000,2.210000,2.220000,2.220000,6725600
2016-01-26,2.270000,2.310000,2.210000,2.250000,2.250000,5602000
2016-01-27,2.240000,2.360000,2.220000,2.270000,2.270000,6517200
2016-01-28,2.340000,2.640000,2.290000,2.620000,2.620000,7982600
2016-01-29,2.690000,2.860000,2.550000,2.780000,2.780000,12488500
2016-02-01,2.740000,2.740000,2.610000,2.700000,2.700000,7574200
2016-02-02,2.650000,2.680000,2.550000,2.550000,2.550000,4938200
2016-02-03,2.580000,2.630000,2.400000,2.480000,2.480000,7120200
2016-02-04,2.480000,2.790000,2.450000,2.790000,2.790000,13243600
2016-02-05,2.790000,2.790000,2.010000,2.180000,2.180000,27255900
2016-02-08,2.120000,2.120000,1.770000,1.860000,1.860000,18187900
2016-02-09,1.780000,1.910000,1.630000,1.670000,1.670000,16038500
2016-02-10,1.670000,1.880000,1.660000,1.730000,1.730000,10552300
2016-02-11,1.670000,1.710000,1.570000,1.610000,1.610000,8936700
2016-02-12,1.700000,1.820000,1.680000,1.700000,1.700000,15886600
2016-02-16,1.790000,1.820000,1.740000,1.790000,1.790000,7439600
2016-02-17,1.810000,2.020000,1.810000,1.930000,1.930000,9697700
2016-02-18,2.000000,2.090000,1.910000,2.040000,2.040000,5715800
2016-02-19,2.040000,2.040000,1.920000,1.930000,1.930000,4105200
2016-02-22,1.970000,2.070000,1.970000,2.010000,2.010000,5876700
2016-02-23,1.990000,2.030000,1.930000,1.970000,1.970000,4964900
2016-02-24,1.950000,1.960000,1.830000,1.940000,1.940000,5566000
2016-02-25,1.960000,2.000000,1.890000,1.970000,1.970000,4017400
2016-02-26,2.010000,2.180000,1.980000,2.180000,2.180000,8155400
2016-02-29,2.000000,2.240000,1.980000,2.120000,2.120000,12611500
2016-03-01,2.100000,2.350000,2.100000,2.320000,2.320000,8005200
2016-03-02,2.360000,2.490000,2.300000,2.480000,2.480000,10746200
2016-03-03,2.520000,2.800000,2.440000,2.700000,2.700000,12157800
2016-03-04,2.870000,3.070000,2.760000,2.880000,2.880000,13983800
2016-03-07,2.910000,3.060000,2.810000,2.980000,2.980000,9640300
2016-03-08,2.950000,3.040000,2.700000,2.750000,2.750000,9495200
2016-03-09,2.820000,2.870000,2.680000,2.790000,2.790000,5123500
2016-03-10,2.840000,2.850000,2.580000,2.680000,2.680000,7557800
2016-03-11,2.730000,2.840000,2.540000,2.800000,2.800000,7108100
2016-03-14,2.800000,2.930000,2.760000,2.920000,2.920000,7592000
2016-03-15,2.930000,2.930000,2.670000,2.720000,2.720000,6587900
2016-03-16,2.780000,2.820000,2.710000,2.810000,2.810000,4945600
2016-03-17,2.940000,2.990000,2.790000,2.950000,2.950000,4927500
2016-03-18,2.970000,3.030000,2.860000,3.030000,3.030000,18365200
2016-03-21,3.030000,3.340000,3.000000,3.260000,3.260000,12289200
2016-03-22,3.270000,3.290000,2.970000,3.050000,3.050000,9631900
2016-03-23,3.040000,3.050000,2.810000,2.810000,2.810000,6814800
2016-03-24,2.780000,2.780000,2.530000,2.670000,2.670000,11066700
2016-03-28,2.680000,2.760000,2.680000,2.690000,2.690000,5744700
2016-03-29,2.700000,2.850000,2.550000,2.790000,2.790000,5822800
2016-03-30,2.810000,2.900000,2.710000,2.740000,2.740000,5548600
2016-03-31,2.740000,2.770000,2.680000,2.730000,2.730000,3927400
2016-04-01,2.780000,2.790000,2.680000,2.740000,2.740000,4776000
2016-04-04,2.750000,2.780000,2.680000,2.700000,2.700000,4396200
2016-04-05,2.680000,2.690000,2.550000,2.600000,2.600000,6380400
2016-04-06,2.640000,2.690000,2.590000,2.640000,2.640000,5525000
2016-04-07,2.610000,2.680000,2.500000,2.500000,2.500000,5356000
2016-04-08,2.580000,2.600000,2.510000,2.540000,2.540000,4338900
2016-04-11,2.570000,2.600000,2.500000,2.510000,2.510000,5634900
2016-04-12,2.520000,2.610000,2.430000,2.600000,2.600000,6586300
2016-04-13,2.650000,2.820000,2.650000,2.780000,2.780000,7278800
2016-04-14,2.770000,2.830000,2.750000,2.770000,2.770000,7458200
2016-04-15,2.770000,2.820000,2.590000,2.640000,2.640000,8214100
2016-04-18,2.590000,2.700000,2.510000,2.660000,2.660000,8334100
2016-04-19,2.670000,2.770000,2.650000,2.730000,2.730000,5938700
2016-04-20,2.730000,2.890000,2.730000,2.890000,2.890000,5732500
