Period,Market Cap
2/18/2022,192906.3356
2/17/2022,192881.0762
2/16/2022,195053.388
2/15/2022,196543.6949
2/14/2022,193158.93
2/11/2022,193588.3405
2/10/2022,193386.265
2/9/2022,193310.4867
2/8/2022,194270.3453
2/7/2022,195962.7278
2/4/2022,198438.1528
2/3/2022,199574.8275
2/2/2022,207152.6592
2/1/2022,206925.3243
1/31/2022,205813.909
1/28/2022,204348.8615
1/27/2022,203540.5595
1/26/2022,199903.2002
1/25/2022,200711.5023
1/24/2022,199120.1576
1/21/2022,202024.9931
1/20/2022,203969.9699
1/19/2022,205333.9796
1/18/2022,205965.4656
1/14/2022,205561.3146
1/13/2022,205409.7579
1/12/2022,205106.6447
1/11/2022,206293.8383
1/10/2022,208061.999
1/7/2022,202833.2952
1/6/2022,199120.1576
1/5/2022,199246.4548
1/4/2022,194522.9397
1/3/2022,194169.3076
12/31/2021,193588.3405
12/30/2021,194851.3124
12/29/2021,194371.3831
12/28/2021,194017.751
12/27/2021,193411.5244
12/23/2021,191289.7315
12/22/2021,192375.8874
12/21/2021,190809.8022
12/20/2021,193007.3734
12/17/2021,191188.6938
12/16/2021,191744.4014
12/15/2021,190178.3162
12/14/2021,186212.5843
12/13/2021,185454.8011
12/10/2021,183434.046
12/9/2021,184040.2726
12/8/2021,184924.3529
12/7/2021,182575.2251
12/6/2021,185454.8011
12/3/2021,185252.7256
12/2/2021,186641.9948
12/1/2021,188031.2639
11/30/2021,189218.4575
11/29/2021,189167.9387
11/26/2021,199953.7191
11/24/2021,207834.6641
11/23/2021,209148.1549
11/22/2021,206218.06
11/19/2021,203843.6727
11/18/2021,209779.6409
11/17/2021,208642.9661
11/16/2021,212457.1414
11/15/2021,211396.245
11/12/2021,212179.2876
11/11/2021,212229.8065
11/10/2021,212204.547
11/9/2021,208946.0794
11/8/2021,208845.0417
11/5/2021,206142.2817
11/4/2021,228698.9607
11/3/2021,224000.7051
11/2/2021,224859.526
11/1/2021,221878.9122
10/29/2021,222354.7254
10/28/2021,218566.7403
10/27/2021,205914.87
10/26/2021,207707.8497
10/25/2021,206217.9088
10/22/2021,204929.9939
10/21/2021,204980.5004
10/20/2021,204727.968
10/19/2021,200737.9571
10/18/2021,194828.7003
10/15/2021,197808.5819
10/14/2021,197808.5819
10/13/2021,199374.2824
10/12/2021,200990.4894
10/11/2021,201849.0994
10/8/2021,203616.8257
10/7/2021,206924.9994
10/6/2021,203692.5854
10/5/2021,206066.3894
10/4/2021,209854.3745
10/1/2021,205561.3248
9/30/2021,189677.0406
9/29/2021,190080.9262
9/28/2021,185600.393
9/27/2021,185701.648
9/24/2021,186334.4917
9/23/2021,184916.9218
9/22/2021,182360.2334
9/21/2021,182183.0372
9/20/2021,182081.7822
9/17/2021,181448.9385
9/16/2021,182183.0372
9/15/2021,184309.3919
9/14/2021,182537.4296
9/13/2021,185246.0005
9/10/2021,185929.4717
9/9/2021,186866.0804
9/8/2021,190764.3974
9/7/2021,192333.8497
9/3/2021,195574.0093
9/2/2021,195219.6169
9/1/2021,192840.1246
8/31/2021,193118.5759
8/30/2021,193650.1645
8/27/2021,193143.8896
8/26/2021,193827.3608
8/25/2021,195093.0481
8/24/2021,196738.4417
8/23/2021,198409.149
8/20/2021,199168.5614
8/19/2021,198611.659
8/18/2021,196915.6379
8/17/2021,199548.2676
8/16/2021,197270.0304
8/13/2021,194207.067
8/12/2021,192485.7322
8/11/2021,190384.6912
8/10/2021,190334.0637
8/9/2021,190663.1424
8/6/2021,190966.9074
8/5/2021,191346.6136
8/4/2021,191068.1624
8/3/2021,193422.3408
8/2/2021,192840.1246
7/30/2021,194692.677
7/29/2021,194844.6421
7/28/2021,198390.4955
7/27/2021,197174.7743
7/26/2021,195629.7954
7/23/2021,196389.6211
7/22/2021,193831.5412
7/21/2021,193476.9558
7/20/2021,192919.7503
7/19/2021,195148.5724
7/16/2021,197605.3422
7/15/2021,197301.412
7/14/2021,196592.2413
7/13/2021,196566.9138
7/12/2021,196414.9486
7/9/2021,197529.3597
7/8/2021,197858.6175
7/7/2021,198973.0285
7/6/2021,197833.29
7/2/2021,199074.3386
7/1/2021,197529.3597
6/30/2021,196972.1541
6/29/2021,195500.2291
6/28/2021,194614.0086
6/25/2021,195474.9085
6/24/2021,193347.9794
6/23/2021,191372.9739
6/22/2021,192917.5295
6/21/2021,194335.4822
6/18/2021,193980.994
6/17/2021,195550.8702
6/16/2021,193980.994
6/15/2021,191676.8209
6/14/2021,191043.8063
6/11/2021,193120.0942
6/10/2021,192790.9266
6/9/2021,187473.6039
6/8/2021,183321.0282
6/7/2021,184333.8515
6/4/2021,187650.848
6/3/2021,187144.4363
6/2/2021,192107.2708
6/1/2021,190360.1505
5/28/2021,192157.912
5/27/2021,192233.8737
5/26/2021,195550.8702
5/25/2021,196234.526
5/24/2021,200108.5754
5/21/2021,200488.3841
5/20/2021,201703.7721
5/19/2021,200944.1546
5/18/2021,200994.7958
5/17/2021,202235.5044
5/14/2021,198234.8521
5/13/2021,199247.6755
5/12/2021,197500.5552
5/11/2021,196133.2437
5/10/2021,197931.0051
5/7/2021,198538.6991
5/6/2021,196943.5024
5/5/2021,196740.9377
5/4/2021,192411.1178
5/3/2021,192385.7972
4/30/2021,188638.3508
4/29/2021,186506.4566
4/28/2021,195138.2022
4/27/2021,195821.6542
4/26/2021,196251.9759
4/23/2021,197137.9322
4/22/2021,197340.4365
4/21/2021,200555.1922
4/20/2021,198884.5317
4/19/2021,196581.0453
4/16/2021,196100.0976
4/15/2021,194049.7416
4/14/2021,193391.6027
4/13/2021,193467.5418
4/12/2021,192935.968
4/9/2021,193163.7853
4/8/2021,191088.1163
4/7/2021,192682.8376
4/6/2021,191847.5074
4/5/2021,194910.3849
4/1/2021,195138.2022
3/31/2021,195138.2022
3/30/2021,194808.8634
3/29/2021,198200.8057
3/26/2021,195897.3225
3/25/2021,192486.5923
3/24/2021,192916.7582
3/23/2021,192992.6699
3/22/2021,196130.3506
3/19/2021,196130.3506
3/18/2021,195523.0576
3/17/2021,195598.9692
3/16/2021,194359.0792
3/15/2021,192891.4544
3/12/2021,188766.9224
3/11/2021,188842.8341
3/10/2021,189171.7845
3/9/2021,187602.9441
3/8/2021,187678.8557
3/5/2021,185047.2525
3/4/2021,182618.0803
3/3/2021,185477.4184
3/2/2021,184338.7439
3/1/2021,183149.4617
2/26/2021,183751.5261
2/25/2021,188812.1575
2/24/2021,188685.6417
2/23/2021,188609.7323
2/22/2021,189596.5554
2/19/2021,188027.7597
2/18/2021,190811.1069
2/17/2021,191140.048
2/16/2021,187875.9407
2/12/2021,189773.6775
2/11/2021,189115.7954
2/10/2021,189495.3428
2/9/2021,189874.8901
